Book Name,Author,Author_Rating,Book_average_rating,genre,sale price,combined
Beowulf,"Unknown, Seamus Heaney",Novice,3.42,genre fiction,4.88,"Beowulf Unknown, Seamus Heaney genre fiction"
Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Intermediate,4.23,genre fiction,1.99,"Batman: Year One Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil genre fiction"
Go Set a Watchman,Harper Lee,Novice,3.31,genre fiction,8.69,Go Set a Watchman Harper Lee genre fiction
When You Are Engulfed in Flames,David Sedaris,Intermediate,4.04,fiction,7.5,When You Are Engulfed in Flames David Sedaris fiction
Daughter of Smoke & Bone,Laini Taylor,Intermediate,4.04,genre fiction,7.99,Daughter of Smoke & Bone Laini Taylor genre fiction
Red Queen,Victoria Aveyard,Intermediate,4.08,genre fiction,4.99,Red Queen Victoria Aveyard genre fiction
The Power of Habit,Charles Duhigg,Intermediate,4.03,genre fiction,6.99,The Power of Habit Charles Duhigg genre fiction
Midnight in the Garden of Good and Evil,John Berendt,Intermediate,3.9,nonfiction,6.89,Midnight in the Garden of Good and Evil John Berendt nonfiction
Hopeless,Colleen Hoover,Intermediate,4.34,genre fiction,6.99,Hopeless Colleen Hoover genre fiction
A Little Princess,"Frances Hodgson Burnett, Nancy Bond",Intermediate,4.2,genre fiction,6.49,"A Little Princess Frances Hodgson Burnett, Nancy Bond genre fiction"
The Truth About Forever,Sarah Dessen,Intermediate,4.13,genre fiction,4.99,The Truth About Forever Sarah Dessen genre fiction
The horse and his boy,C.S. Lewis,Intermediate,3.9,fiction,5.99,The horse and his boy C.S. Lewis fiction
Last Sacrifice ,Richelle Mead,Famous,4.42,genre fiction,0.99,Last Sacrifice  Richelle Mead genre fiction
Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.18,genre fiction,1.99,"Little House on the Prairie Laura Ingalls Wilder, Garth Williams genre fiction"
The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",Intermediate,4.29,genre fiction,6.54,"The Velveteen Rabbit Margery Williams Bianco, William   Nicholson genre fiction"
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Intermediate,3.76,genre fiction,4.99,Zen and the Art of Motorcycle Maintenance Robert M. Pirsig genre fiction
The War of the Worlds,"H.G. Wells, Arthur C. Clarke",Intermediate,3.8,genre fiction,4.99,"The War of the Worlds H.G. Wells, Arthur C. Clarke genre fiction"
Pretty Little Liars,Sara Shepard,Intermediate,3.9,genre fiction,4.99,Pretty Little Liars Sara Shepard genre fiction
Corduroy,Don Freeman,Intermediate,4.28,genre fiction,1.99,Corduroy Don Freeman genre fiction
The Omnivore's Dilemma,Michael Pollan,Intermediate,4.17,genre fiction,0.99,The Omnivore's Dilemma Michael Pollan genre fiction
Life After Life,Kate Atkinson,Intermediate,3.74,genre fiction,3.99,Life After Life Kate Atkinson genre fiction
The Rescue,Nicholas Sparks,Intermediate,4.1,genre fiction,2.99,The Rescue Nicholas Sparks genre fiction
Needful Things,Stephen King,Intermediate,3.87,genre fiction,0.99,Needful Things Stephen King genre fiction
Voyager,Diana Gabaldon,Intermediate,4.38,genre fiction,2.99,Voyager Diana Gabaldon genre fiction
Cujo,Stephen King,Intermediate,3.65,genre fiction,2.99,Cujo Stephen King genre fiction
The Virgin Suicides,Jeffrey Eugenides,Intermediate,3.83,genre fiction,10.91,The Virgin Suicides Jeffrey Eugenides genre fiction
Dead to the World,Charlaine Harris,Intermediate,4.13,genre fiction,0.99,Dead to the World Charlaine Harris genre fiction
Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Intermediate,3.77,nonfiction,3.99,"Tess of the d'Urbervilles: A Pure Woman Faithfully Presented Thomas Hardy, Tim Dolin, Margaret R. Higonnet nonfiction"
Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Intermediate,3.64,genre fiction,3.99,"Madame Bovary Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall genre fiction"
The Phantom Tollbooth,"Norton Juster, Jules Feiffer",Intermediate,4.22,genre fiction,1.99,"The Phantom Tollbooth Norton Juster, Jules Feiffer genre fiction"
The Way of Kings,Brandon Sanderson,Famous,4.64,genre fiction,0.99,The Way of Kings Brandon Sanderson genre fiction
Club Dead,Charlaine Harris,Intermediate,4.03,genre fiction,5.99,Club Dead Charlaine Harris genre fiction
It's Kind of a Funny Story,Ned Vizzini,Intermediate,4.14,nonfiction,0.99,It's Kind of a Funny Story Ned Vizzini nonfiction
After You,Jojo Moyes,Intermediate,3.7,genre fiction,0.99,After You Jojo Moyes genre fiction
The Language of Flowers,Vanessa Diffenbaugh,Intermediate,4.07,genre fiction,0.99,The Language of Flowers Vanessa Diffenbaugh genre fiction
Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",Intermediate,4.25,genre fiction,0.99,"Batman: The Dark Knight Returns Frank Miller, Klaus Janson, Lynn Varley genre fiction"
The Angel Experiment,James Patterson,Intermediate,4.08,genre fiction,0.99,The Angel Experiment James Patterson genre fiction
High Fidelity,Nick Hornby,Intermediate,3.94,genre fiction,10.65,High Fidelity Nick Hornby genre fiction
The Guardian,Nicholas Sparks,Intermediate,4.14,genre fiction,0.99,The Guardian Nicholas Sparks genre fiction
Oryx and Crake,Margaret Atwood,Intermediate,4.0,genre fiction,3.99,Oryx and Crake Margaret Atwood genre fiction
"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,Intermediate,3.52,genre fiction,1.99,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships John Gray genre fiction"
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Intermediate,4.0,genre fiction,5.99,Kitchen Confidential: Adventures in the Culinary Underbelly Anthony Bourdain genre fiction
Timeline,Michael Crichton,Intermediate,3.83,genre fiction,6.99,Timeline Michael Crichton genre fiction
Candide,Voltaire,Intermediate,3.76,genre fiction,4.99,Candide Voltaire genre fiction
Tuck Everlasting,Natalie Babbitt,Intermediate,3.85,nonfiction,1.99,Tuck Everlasting Natalie Babbitt nonfiction
Christine,"Stephen King, Marie Milpois",Intermediate,3.72,nonfiction,0.99,"Christine Stephen King, Marie Milpois nonfiction"
Are You My Mother?,P.D. Eastman,Intermediate,4.16,genre fiction,5.99,Are You My Mother? P.D. Eastman genre fiction
The Story of Art,E.H. Gombrich,Intermediate,3.83,genre fiction,8.59,The Story of Art E.H. Gombrich genre fiction
Scarlet,Marissa Meyer,Intermediate,4.3,genre fiction,0.99,Scarlet Marissa Meyer genre fiction
"Rich Dad , Poor Dad",Robert T. Kiyosaki,Intermediate,3.95,genre fiction,0.99,"Rich Dad , Poor Dad Robert T. Kiyosaki genre fiction"
Silence ,Becca Fitzpatrick,Intermediate,4.16,genre fiction,4.99,Silence  Becca Fitzpatrick genre fiction
The Magicians,Lev Grossman,Novice,3.47,genre fiction,0.99,The Magicians Lev Grossman genre fiction
ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",Famous,4.42,genre fiction,3.99,"ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ) Tsugumi Ohba, Takeshi Obata genre fiction"
A Great and Terrible Beauty,Libba Bray,Intermediate,3.79,genre fiction,2.99,A Great and Terrible Beauty Libba Bray genre fiction
Everything Is Illuminated,Jonathan Safran Foer,Intermediate,3.9,genre fiction,0.99,Everything Is Illuminated Jonathan Safran Foer genre fiction
The Bourne Supremacy,Robert Ludlum,Intermediate,4.09,genre fiction,10.91,The Bourne Supremacy Robert Ludlum genre fiction
Easy,Tammara Webber,Intermediate,4.11,genre fiction,0.99,Easy Tammara Webber genre fiction
David Copperfield,"Charles Dickens, Jeremy Tambling",Intermediate,3.96,genre fiction,11.39,"David Copperfield Charles Dickens, Jeremy Tambling genre fiction"
The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",Intermediate,4.11,genre fiction,6.49,"The Absolutely True Diary of a Part-Time Indian Sherman Alexie, Ellen Forney genre fiction"
ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Intermediate,4.32,genre fiction,3.99,"ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð° Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer genre fiction"
A Wizard of Earthsea,Ursula K. Le Guin,Intermediate,3.99,genre fiction,3.0,A Wizard of Earthsea Ursula K. Le Guin genre fiction
